NIM,Program Studi : ,IPK Terakhir : ,Jenis Kelamin,Tinggi Badan : ,Berat Badan : ,Pendidikan terakhir ,Rata-rata belajar perminggu (dalam jam) : ,Apakah penerima beasiswa : ,"Asal Daerah (Kota beserta Provinsi) : 
Ex : Padang, Sumatera Barat ",Pekerjaan saat ini (selain kuliah) ,Akses Internet (yang paling sering digunakan) ,Keterlibatan Organisai ,"Uang Saku : 
(yang diberikan oleh orangtua)","Jenis Tempat Tinggal : 
(Tempat tinggal saat ini) ",Jarak rumah dari kampus ITERA :  ,Jenis pekerjaan Ayah : ,Jenis pekerjaan Ibu : ,Pendapatan Orangtua : ,Jumlah Anggota Keluarga : 
226,Teknik Kimia,"3,7",Perempuan,155,40,SMA,9 jam,Ya,"Bandar Lampung, Lampung ",Tidak bekerja,Fasilitas Kampus,Aktif organisasi kemahasiswaan,500k s.d 1 jt,Tinggal besama orangtua,> 5 km,Wiraswata,Ibu Rumah Tangga,1jt - 3jt,5
227,Teknik,0,Perempuan,170,70,SMA,4,Ya,"Balige, Sumatra utara",Tidak bekerja,Wi-Fi pribadi,Tidak Aktif,500k s.d 1 jt,Kos,1 km - 2 km,Petani/ Nelayan,Petani/ Nelayan,1jt - 3jt,8
228,Sains Aktuaria,3.7,Laki-laki,168,61,SMA,7,Tidak,Sumatera Utara,Tidak bekerja,Paket Data Seluler,Lainnya,500k s.d 1 jt,Rumah mengontrak bersama-sama,2 km - 3 km,Lainnya,Lainnya,1jt - 3jt,6
229,Sains Data,3.45,Laki-laki,171 cm,51 kg,SMA,9 jam,Tidak,"Telukdalam Nias Selatan, Sumatera Utara",Tidak bekerja,Fasilitas Kampus,Aktif organisasi kemahasiswaan,500k s.d 1 jt,Asrama,< 1 km,Wiraswata,Ibu Rumah Tangga,< 1jt,5 anggota keluarga (3 orang anak beserta ayah dan ibu)
230,Sains Data,2.83,Laki-laki,161,55,SMA,35 jam,Tidak,"Tangerang, Banten",Paruh Waktu,Wi-Fi pribadi,Aktif organisasi kemahasiswaan,"1 jt s.d 1,5 jt",Rumah mengontrak bersama-sama,3 km - 4 km,Lainnya,Lainnya,5 jt - 7 jt,5
231,Teknik Fisika ,2.98,Laki-laki,165,58,SMA,32 Jam,Tidak,"Bengkulu Selatan, Bengkulu ",Tidak bekerja,Wi-Fi pribadi,Aktif organisasi kemahasiswaan,> 2 jt,Rumah mengontrak bersama-sama,2 km - 3 km,Petani/ Nelayan,PNS,3 jt - 5jt,6 Orang
232,Sains Data,-,Laki-laki,178,72,SMA,7,Tidak,"Lampung Barat, Lampung ",Tidak bekerja,Paket Data Seluler,Tidak Aktif,500k s.d 1 jt,Rumah mengontrak bersama-sama,> 5 km,Petani/ Nelayan,Lainnya,3 jt - 5jt,5
233,Sains Data,3.42,Laki-laki,175,60,SMK,5,Tidak,"Kota Bekasi, Jawa Barat",Tidak bekerja,Paket Data Seluler,Aktif organisasi kemahasiswaan,500k s.d 1 jt,Tinggal besama orangtua,> 5 km,Lainnya,Ibu Rumah Tangga,1jt - 3jt,4
234,Sains Aktuaria ,3.33,Perempuan,153,53,SMA,10-20,Tidak,"Pesawaran, Lampung ",Tidak bekerja,Paket Data Seluler,Aktif organisasi kemahasiswaan,500k s.d 1 jt,Rumah mengontrak bersama-sama,< 1 km,Petani/ Nelayan,Ibu Rumah Tangga,< 1jt,4
235,Sains Data,-,Perempuan,156 cm,55 kg,SMA,9 jam,Ya,"Humbang Hasundutan, Sumatera Utara ",Tidak bekerja,Paket Data Seluler,Lainnya,500k s.d 1 jt,Kos,1 km - 2 km,Lainnya,Petani/ Nelayan,1jt - 3jt,4
236,Sains Data,-,Laki-laki,164 cm,47 kg,SMA,25 jam,Tidak,Lampung Barat,Tidak bekerja,Wi-Fi pribadi,Tidak Aktif,500k s.d 1 jt,Rumah mengontrak bersama-sama,> 5 km,PNS,Ibu Rumah Tangga,3 jt - 5jt,5
237,Rekayasa Kosmetik,-,Perempuan,159,47,SMA,-,Tidak,"Lampung,BandarLampung",Tidak bekerja,Wi-Fi pribadi,Lainnya,500k s.d 1 jt,Tinggal besama orangtua,> 5 km,Lainnya,Ibu Rumah Tangga,3 jt - 5jt,5
238,Biologi,"3,55",Perempuan,155,40,SMA,2jam,Ya,"SMA Negeri 1 Purbolinggo, kab. Lampunh timur, Lampung",Tidak bekerja,Paket Data Seluler,Aktif organisasi kemahasiswaan,500k s.d 1 jt,Kos,1 km - 2 km,Petani/ Nelayan,Ibu Rumah Tangga,< 1jt,4
239,Sains Data,-,Perempuan,155,50,SMA,5,Tidak,"Tebing Tinggi, Sumatera Utara",Tidak bekerja,Wi-Fi pribadi,Tidak Aktif,"1 jt s.d 1,5 jt",Kos,< 1 km,PNS,PNS,3 jt - 5jt,5
240,Teknik Biosistem,3.19,Perempuan,152 cm,50 kg,SMA,48 jam,Tidak,"Sibolga, Sumatera Utara",Tidak bekerja,Paket Data Seluler,Aktif kegiatan akademik,500k s.d 1 jt,Rumah mengontrak bersama-sama,2 km - 3 km,Wiraswata,Ibu Rumah Tangga,< 1jt,7
241,SAP,3.17,Perempuan,149,50,SMA,3,Tidak,"Karawang, Jawa Barat",Tidak bekerja,Paket Data Seluler,Lainnya,"1 jt s.d 1,5 jt",Kos,1 km - 2 km,Karyawan Swasta,PNS,> 9jt,6
242,Teknik Mesin,-,Laki-laki,165,70,SMA,2,Tidak,"Palembang, Sumatera Selatan",Tidak bekerja,Paket Data Seluler,Tidak Aktif,500k s.d 1 jt,Asrama,1 km - 2 km,Petani/ Nelayan,Ibu Rumah Tangga,7 jt - 9 jt,6
243,Fisika ,"2,71",Perempuan,148,43,SMA,500-570 jam/minggu,Tidak,"Tanggamus, Lampung ",Tidak bekerja,Paket Data Seluler,Aktif kegiatan akademik,500k s.d 1 jt,Kos,2 km - 3 km,Wiraswata,PNS,1jt - 3jt,4
244,Sains Data,-,Perempuan,155 cm,42 kg,SMK,84-105 jam,Tidak,"Jakarta Timur, DKI Jakarta",Tidak bekerja,Paket Data Seluler,Aktif kegiatan akademik,500k s.d 1 jt,Kos,1 km - 2 km,PNS,Ibu Rumah Tangga,3 jt - 5jt,5
245,Teknik Fisika,3.57,Laki-laki,159,51,SMA,4,Ya,"Lampung tengah, Lampung",Tidak bekerja,Fasilitas Kampus,Aktif organisasi kemahasiswaan,500k s.d 1 jt,Kos,1 km - 2 km,Lainnya,Ibu Rumah Tangga,1jt - 3jt,6
246,Sains Data,2.4,Laki-laki,171 cm,80 kg,SMA,1 Jam,Tidak,"Bandar Lampung, Lampung",Tidak bekerja,Wi-Fi pribadi,Tidak Aktif,500k s.d 1 jt,Tinggal besama orangtua,> 5 km,Wiraswata,PNS,1jt - 3jt,5
247,Sains Atmosfer dan Keplanetan,2.47,Laki-laki,168,52,SMA,5,Tidak,Lampung,Tidak bekerja,Fasilitas Kampus,Tidak Aktif,500k s.d 1 jt,Kos,1 km - 2 km,Lainnya,Ibu Rumah Tangga,1jt - 3jt,4
248,Teknologi Pangan,maba😔,Perempuan,160,51,SMA,20 jam an,Tidak,"Bandar Lampung, Lampung",Tidak bekerja,Wi-Fi pribadi,Aktif organisasi kemahasiswaan,500k s.d 1 jt,Tinggal besama orangtua,> 5 km,Wiraswata,Ibu Rumah Tangga,1jt - 3jt,4
249,Sains Aktuaria,-,Laki-laki,177,70,SMA,30-36,Tidak,"Pringsewu, Lampung",Tidak bekerja,Wi-Fi pribadi,Aktif kegiatan akademik,"1 jt s.d 1,5 jt",Kos,< 1 km,PNS,Ibu Rumah Tangga,7 jt - 9 jt,3
250,Teknik Kimia,3.74,Laki-laki,168,78,SMA,2 jam,Ya,Medan,Tidak bekerja,Paket Data Seluler,Aktif organisasi kemahasiswaan,500k s.d 1 jt,Kos,2 km - 3 km,Pensiunan,Wiraswata,1jt - 3jt,4
251,Sains Aktuaria,3.58,Laki-laki,182,80,SMA,4-5 ,Tidak,"Jakarta Selatan,Dki Jakarta",Paruh Waktu,Wi-Fi pribadi,Aktif organisasi kemahasiswaan,500k s.d 1 jt,Kos,1 km - 2 km,Lainnya,Wiraswata,< 1jt,3
252,Teknik Sistem Energi ,-,Laki-laki,165 cm,60 kg,SMK,Tidak menentu,Tidak,"Purwakarta, Jawa Barat",Tidak bekerja,Paket Data Seluler,Tidak Aktif,500k s.d 1 jt,Kos,< 1 km,Wiraswata,Ibu Rumah Tangga,3 jt - 5jt,5
253,Arsitektur,4,Perempuan,165 cm,74,SMA,21 jam,Tidak,"Bandarlampung, lampung",Tidak bekerja,Wi-Fi pribadi,Tidak Aktif,500k s.d 1 jt,Tinggal besama orangtua,> 5 km,PNS,PNS,7 jt - 9 jt,4
254,Teknologi Pangan,4,Perempuan,163,47,SMA,20,Tidak,Bandar Lampung,Tidak bekerja,Wi-Fi pribadi,Tidak Aktif,500k s.d 1 jt,Tinggal besama orangtua,> 5 km,Wiraswata,Ibu Rumah Tangga,1jt - 3jt,3
255,Teknik Geomatika,4,Perempuan,165,68,SMA,15,Tidak,"Bekasi, Jawa Barat",Tidak bekerja,Wi-Fi pribadi,Aktif organisasi kemahasiswaan,"1 jt s.d 1,5 jt",Kos,1 km - 2 km,Karyawan Swasta,Ibu Rumah Tangga,5 jt - 7 jt,4
256,Matematika,4,Laki-laki,165,67,SMA,70,Tidak,"Deli Serdang, Sumatra Utara",Paruh Waktu,Paket Data Seluler,Tidak Aktif,500k s.d 1 jt,Kos,3 km - 4 km,Karyawan Swasta,Ibu Rumah Tangga,1jt - 3jt,4
257,Teknik Geofisika,4,Perempuan,155,38,SMA,8 jam,Tidak,"Palembang, Sumatera Selatan",Tidak bekerja,Paket Data Seluler,Lainnya,500k s.d 1 jt,Kos,2 km - 3 km,Petani/ Nelayan,Ibu Rumah Tangga,< 1jt,2
258,Teknik Lingkungan,4,Perempuan,156,55,SMA,4,Ya,Lampung,Tidak bekerja,Paket Data Seluler,Tidak Aktif,500k s.d 1 jt,Kos,< 1 km,Lainnya,Ibu Rumah Tangga,1jt - 3jt,4
259,Sains Data,2.78,Laki-laki,156,54,SMA,2,Tidak,"Bekasi, Jawa Barat",Tidak bekerja,Paket Data Seluler,Aktif organisasi kemahasiswaan,500k s.d 1 jt,Kos,2 km - 3 km,Karyawan Swasta,Ibu Rumah Tangga,3 jt - 5jt,5
260,Sains Data,3.74,Laki-laki,167,55,SMA,3,Tidak,"Bukittinggi, Sumatra Barat",Tidak bekerja,Fasilitas Kampus,Aktif kegiatan akademik,"1,5 jt s.d 2 jt",Kos,< 1 km,PNS,Ibu Rumah Tangga,5 jt - 7 jt,3
261,Sains data,3.43,Perempuan,155 cm,58,SMA,7,Tidak,"Jakarta pusat, dki jakarta",Tidak bekerja,Wi-Fi pribadi,Aktif organisasi kemahasiswaan,> 2 jt,Tinggal besama orangtua,> 5 km,Wiraswata,Ibu Rumah Tangga,3 jt - 5jt,5
262,Sains data ,3,Laki-laki,168,55,SMA,1,Tidak,Sumatera Selatan ,Tidak bekerja,Paket Data Seluler,Tidak Aktif,"1 jt s.d 1,5 jt",Kos,3 km - 4 km,Petani/ Nelayan,Lainnya,3 jt - 5jt,4
263,Kimia ,"3,16",Perempuan,149,73,SMA,2,Tidak,"Bandar Lampung, Lampung ",Tidak bekerja,Wi-Fi pribadi,Lainnya,500k s.d 1 jt,Tinggal besama orangtua,> 5 km,Lainnya,Ibu Rumah Tangga,1jt - 3jt,6
264,Sains Data,3.6,Laki-laki,173,69,SMA,3 jam,Tidak,"Depok, Jawa Barat",Tidak bekerja,Paket Data Seluler,Tidak Aktif,"1 jt s.d 1,5 jt",Kos,1 km - 2 km,Pensiunan,PNS,7 jt - 9 jt,4
265,Sains Data,3.64,Perempuan,155,48,SMA,28,Ya,"Sidomulyo, Lampung Selatan ",Tidak bekerja,Fasilitas Kampus,Lainnya,500k s.d 1 jt,Kos,< 1 km,Wiraswata,Ibu Rumah Tangga,< 1jt,5
266,Sains Data,3.89,Perempuan,160,60,SMA,9,Tidak,"Batu Bara, Sumatera Utara",Tidak bekerja,Wi-Fi pribadi,Aktif organisasi kemahasiswaan,500k s.d 1 jt,Tinggal besama orangtua,> 5 km,Petani/ Nelayan,Petani/ Nelayan,< 1jt,9
267,Teknologi Pangan ,4,Perempuan,151,55,SMK,48 jam,Tidak,"Way Kanan, Lampung",Tidak bekerja,Paket Data Seluler,Aktif kegiatan akademik,500k s.d 1 jt,Kos,> 5 km,PNS,PNS,1jt - 3jt,5
268,Tekpang,3.7,Perempuan,152,40,SMA,20,Tidak,"Tulang Bawang, Lampung",Tidak bekerja,Wi-Fi pribadi,Lainnya,500k s.d 1 jt,Rumah mengontrak bersama-sama,1 km - 2 km,Petani/ Nelayan,PNS,1jt - 3jt,4
269,Arsitektur Lanskap,-,Laki-laki,176,58,SMA,Sekitar 2-3 jam,Tidak,"Kuningan, Jawa Barat",Tidak bekerja,Wi-Fi pribadi,Tidak Aktif,500k s.d 1 jt,Kos,< 1 km,Karyawan Swasta,PNS,> 9jt,4
270,Sains Data,3.33,Perempuan,155,42,SMA,18 jam,Tidak,"Lampung Utara, Lampung ",Tidak bekerja,Wi-Fi pribadi,Aktif organisasi kemahasiswaan,500k s.d 1 jt,Tinggal besama orangtua,> 5 km,PNS,Ibu Rumah Tangga,5 jt - 7 jt,7
271,Sains Data ,3.72,Laki-laki,170,55,SMA,20,Tidak,"Payakumbuh, Sumatera Barat ",Tidak bekerja,Paket Data Seluler,Lainnya,"1 jt s.d 1,5 jt",Rumah mengontrak bersama-sama,2 km - 3 km,Lainnya,Ibu Rumah Tangga,3 jt - 5jt,2
272,Sains Data,3.07,Laki-laki,168,55,SMA,1,Tidak,Sumatera Selatan ,Tidak bekerja,Paket Data Seluler,Tidak Aktif,"1 jt s.d 1,5 jt",Kos,3 km - 4 km,Petani/ Nelayan,Ibu Rumah Tangga,3 jt - 5jt,4
273,Sains Data,3.67,Laki-laki,163cm,53kg,SMA,7 jam,Tidak,"Bandar Lampung, Lampung ",Tidak bekerja,Wi-Fi pribadi,Aktif kegiatan akademik,500k s.d 1 jt,Tinggal besama orangtua,> 5 km,Karyawan Swasta,Karyawan Swasta,5 jt - 7 jt,5
274,Teknik Geologi ,-,Laki-laki,165,48,SMK,14,Ya,"Tanggamus, Lampung ",Tidak bekerja,Paket Data Seluler,Tidak Aktif,500k s.d 1 jt,Kos,> 5 km,Lainnya,Ibu Rumah Tangga,1jt - 3jt,4
275,Sains Atmosfer dan Keplanetan,3.74,Laki-laki,170,55,SMA,2 jam,Tidak,"Tangerang, Banten",Tidak bekerja,Wi-Fi pribadi,Tidak Aktif,"1 jt s.d 1,5 jt",Kos,< 1 km,Karyawan Swasta,Ibu Rumah Tangga,> 9jt,3
276,Perencanaan wilayah dan kota,Belum ada ,Laki-laki,165,66,SMA,1 jam ,Tidak,"Pematangsiantar, Sumatera Utara",Tidak bekerja,Paket Data Seluler,Tidak Aktif,500k s.d 1 jt,Kos,< 1 km,Lainnya,PNS,3 jt - 5jt,5
277,PWK,"2,8",Laki-laki,170,60,SMA,40 jam,Tidak,"Pringsewu, lampung",Tidak bekerja,Paket Data Seluler,Aktif organisasi kemahasiswaan,500k s.d 1 jt,Rumah mengontrak bersama-sama,2 km - 3 km,Wiraswata,Ibu Rumah Tangga,3 jt - 5jt,5
278,Sains Data,3.24,Laki-laki,174,68,SMA,7 jam,Tidak,"Kisaran, Sumatera Utara",Tidak bekerja,Paket Data Seluler,Aktif kegiatan akademik,500k s.d 1 jt,Kos,2 km - 3 km,Pensiunan,PNS,3 jt - 5jt,8
279,Sains Data ,3.26,Perempuan,151,55,SMA,3,Ya,"Tulang Bawang, Lampung ",Tidak bekerja,Fasilitas Kampus,Aktif organisasi kemahasiswaan,500k s.d 1 jt,Kos,1 km - 2 km,Petani/ Nelayan,Lainnya,1jt - 3jt,4
280,Arsitektur,"3,83",Perempuan,165,55,SMA,3 jam ,Tidak,"Way kanan, lampung ",Tidak bekerja,Paket Data Seluler,Aktif kegiatan akademik,500k s.d 1 jt,Rumah mengontrak Pribadi,2 km - 3 km,Lainnya,Ibu Rumah Tangga,< 1jt,4
281,Sains Data,3.07,Laki-laki,165,58,SMA,5,Ya,"Dharmasraya, Sumatera Barat",Tidak bekerja,Paket Data Seluler,Aktif kegiatan akademik,500k s.d 1 jt,Kos,1 km - 2 km,Petani/ Nelayan,Ibu Rumah Tangga,1jt - 3jt,4
282,PWK,-,Laki-laki,173 cm,63 kg,SMA,3-4,Tidak,"Jakarta Timur, Jakarta",Penuh Waktu,Wi-Fi pribadi,Tidak Aktif,"1 jt s.d 1,5 jt",Kos,1 km - 2 km,PNS,Ibu Rumah Tangga,5 jt - 7 jt,3
283,Teknik Geologi,-,Perempuan,160,60,SMA,90 jam,Tidak,"inhil, riqu",Tidak bekerja,Fasilitas Kampus,Tidak Aktif,"1,5 jt s.d 2 jt",Kos,< 1 km,Lainnya,Wiraswata,3 jt - 5jt,4
284,Sains Atmosfer dan Keplanetan ,2.6,Laki-laki,172,120,SMA,2 jam,Tidak,"Padang, Sumatera Barat ",Tidak bekerja,Wi-Fi pribadi,Tidak Aktif,"1 jt s.d 1,5 jt",Kos,< 1 km,PNS,PNS,3 jt - 5jt,5
285,Teknik Informatika ,3.8,Perempuan,160,75,SMA,40,Tidak,"Mandailing Natal, Sumatera Utara ",Tidak bekerja,Paket Data Seluler,Aktif kegiatan akademik,500k s.d 1 jt,Asrama,< 1 km,Lainnya,Petani/ Nelayan,1jt - 3jt,5
286,Teknik Informatika,-,Laki-laki,175,80,SMA,5,Tidak,"Bandar lampung, Lampung",Paruh Waktu,Wi-Fi pribadi,Aktif organisasi kemahasiswaan,> 2 jt,Tinggal besama orangtua,> 5 km,PNS,PNS,5 jt - 7 jt,4
287,Teknik Telekomunikasi ,belum ada,Laki-laki,160,53,SMK,2 jam,Tidak,"Bukittinggi, Sumatera Barat ",Tidak bekerja,Paket Data Seluler,Lainnya,"1 jt s.d 1,5 jt",Asrama,1 km - 2 km,Wiraswata,Ibu Rumah Tangga,1jt - 3jt,7
288,Sains Data ,3.28,Perempuan,162,46,SMA,35,Tidak,"Lampung Timur, Lampung ",Tidak bekerja,Paket Data Seluler,Lainnya,500k s.d 1 jt,Rumah mengontrak Pribadi,> 5 km,Wiraswata,Wiraswata,1jt - 3jt,5
289,Teknik Geofisika ,"3,50",Laki-laki,173,68,SMA,30,Tidak,"Lampung Selatan, Lampung ",Tidak bekerja,Wi-Fi pribadi,Tidak Aktif,"1 jt s.d 1,5 jt",Kos,1 km - 2 km,Wiraswata,Ibu Rumah Tangga,3 jt - 5jt,6
290,Arsitektur,otw 4.00 kak,Perempuan,158cm,47,SMA,2 jam,Ya,"Pringsewu, Lampung",Tidak bekerja,Paket Data Seluler,Tidak Aktif,500k s.d 1 jt,Asrama,1 km - 2 km,Petani/ Nelayan,Ibu Rumah Tangga,1jt - 3jt,4
291,matematika ,4,Perempuan,160,63,SMA,6 jam,Tidak,"Kalirejo, Lampung Tengah ",Tidak bekerja,Paket Data Seluler,Tidak Aktif,500k s.d 1 jt,Kos,< 1 km,Wiraswata,Ibu Rumah Tangga,1jt - 3jt,5 orang 
292,Sains Data,"3,58",Perempuan,156,45,SMA,14,Tidak,"Asahan, Sumatera Utara ",Tidak bekerja,Paket Data Seluler,Lainnya,500k s.d 1 jt,Rumah mengontrak Pribadi,3 km - 4 km,Wiraswata,Ibu Rumah Tangga,3 jt - 5jt,5
293,Sains Data,2.89,Perempuan,158,60,SMA,3 jam,Tidak,"Metro, Lampung",Tidak bekerja,Paket Data Seluler,Aktif organisasi kemahasiswaan,"1,5 jt s.d 2 jt",Kos,< 1 km,Lainnya,Ibu Rumah Tangga,1jt - 3jt,3
294,Teknik Informatika,-,Laki-laki,160,160,SMA,2,Tidak,"Muara Enim,Sumatra Selatan",Tidak bekerja,Wi-Fi pribadi,Tidak Aktif,500k s.d 1 jt,Kos,3 km - 4 km,Lainnya,Ibu Rumah Tangga,1jt - 3jt,5
295,Fisika,3.18,Laki-laki,165,53,SMA,5-6,Tidak,"Tulang Bawang Barat, lampung",Tidak bekerja,Wi-Fi pribadi,Lainnya,500k s.d 1 jt,Tinggal besama orangtua,2 km - 3 km,Lainnya,PNS,5 jt - 7 jt,5
296,Desain Komunikasi Visual,4,Perempuan,148,52,SMA,0,Tidak,"Way Kanan, Lampung ",Tidak bekerja,Paket Data Seluler,Aktif kegiatan akademik,"1,5 jt s.d 2 jt",Kos,> 5 km,Lainnya,Ibu Rumah Tangga,1jt - 3jt,4
297,Teknik Elektro ,3,Laki-laki,165,42,SMA,20 jam,Ya,"Payakumbuh, Sumatra Barat ",Tidak bekerja,Wi-Fi pribadi,Aktif organisasi kemahasiswaan,500k s.d 1 jt,Kos,< 1 km,Petani/ Nelayan,Ibu Rumah Tangga,< 1jt,4
298,Desain komunikasi visual ,4,Perempuan,153,40,SMA,29,Tidak,Padang Sumatra Barat ,Tidak bekerja,Paket Data Seluler,Lainnya,500k s.d 1 jt,Kos,1 km - 2 km,PNS,PNS,3 jt - 5jt,4
299,Teknik Informatika,-,Perempuan,160cm,48 kg ,SMA,30 jam,Ya,"Lampung, Bandar Lampung",Tidak bekerja,Wi-Fi pribadi,Lainnya,500k s.d 1 jt,Tinggal besama orangtua,> 5 km,Lainnya,Ibu Rumah Tangga,< 1jt,5
300,Teknik Informatika ,3.8,Perempuan,160,75,SMA,40,Tidak,"Mandailing Natal, Sumatera Utara ",Tidak bekerja,Paket Data Seluler,Aktif kegiatan akademik,500k s.d 1 jt,Asrama,< 1 km,Lainnya,Petani/ Nelayan,1jt - 3jt,5
301,Sains Data,-,Laki-laki,180,70,SMK,50,Tidak,Sumatera Barat,Paruh Waktu,Fasilitas Kampus,Tidak Aktif,"1,5 jt s.d 2 jt",Rumah mengontrak Pribadi,> 5 km,Lainnya,Lainnya,> 9jt,6
302,Teknologi Industri Pertanian,"3,29",Perempuan,161,52,SMA,20 jam,Ya,"Medan, Sumatera Utara",Tidak bekerja,Wi-Fi pribadi,Aktif kegiatan akademik,"1,5 jt s.d 2 jt",Tinggal besama orangtua,1 km - 2 km,Lainnya,Ibu Rumah Tangga,< 1jt,4
303,KIMIA,3.75,Laki-laki,168,46,SMK,6,Ya,"Cilegon, Banten",Tidak bekerja,Fasilitas Kampus,Lainnya,500k s.d 1 jt,Kos,> 5 km,Lainnya,Ibu Rumah Tangga,< 1jt,10
304,Sains Data,-,Laki-laki,165,48,SMA,3,Tidak,"Lampung Timur, Lampung",Tidak bekerja,Wi-Fi pribadi,Aktif kegiatan akademik,500k s.d 1 jt,Kos,> 5 km,Lainnya,Wiraswata,< 1jt,5
305,Sains Data,"3,35",Perempuan,155,80,SMA,3,Tidak,"Rokan Hilir, Riau",Tidak bekerja,Paket Data Seluler,Tidak Aktif,"1,5 jt s.d 2 jt",Kos,2 km - 3 km,Wiraswata,Ibu Rumah Tangga,3 jt - 5jt,7
306,Teknik Sipil,-,Laki-laki,167,52,SMA,2,Tidak,"Pali,Sumatera Selatan",Tidak bekerja,Wi-Fi pribadi,Tidak Aktif,500k s.d 1 jt,Kos,2 km - 3 km,Wiraswata,Lainnya,< 1jt,4
307,Kimia,3.21,Perempuan,148,41,SMA,7,Tidak,"Pesawaran, Lampung ",Tidak bekerja,Paket Data Seluler,Tidak Aktif,500k s.d 1 jt,Rumah mengontrak bersama-sama,2 km - 3 km,Lainnya,Ibu Rumah Tangga,< 1jt,3
308,teknik Geofisika ,-,Perempuan,150,36,SMA,18jam,Ya,Dolok sanggul Sumatra Utara ,Tidak bekerja,Fasilitas Kampus,Aktif kegiatan akademik,500k s.d 1 jt,Asrama,< 1 km,Petani/ Nelayan,Petani/ Nelayan,< 1jt,7
309,Perencanaan Wilayah dan Kota,-,Laki-laki,165,55,SMA,48,Tidak,"Bekasi, Jawa Barat ",Tidak bekerja,Paket Data Seluler,Tidak Aktif,500k s.d 1 jt,Kos,2 km - 3 km,Karyawan Swasta,Ibu Rumah Tangga,3 jt - 5jt,4
310,Sains Data,3.47,Perempuan,149,40,SMA,2,Tidak,bandar lampung,Tidak bekerja,Wi-Fi pribadi,Aktif organisasi kemahasiswaan,500k s.d 1 jt,Tinggal besama orangtua,> 5 km,Karyawan Swasta,PNS,5 jt - 7 jt,5
311,Sains Data,"3,4",Laki-laki,177,75,SMA,28,Tidak,"Tanggamus, Lampung ",Tidak bekerja,Wi-Fi pribadi,Tidak Aktif,500k s.d 1 jt,Kos,2 km - 3 km,Karyawan Swasta,Ibu Rumah Tangga,3 jt - 5jt,4
312,Teknik Biomedis,2.98,Perempuan,157,90,SMA,4-6 jam ,Tidak,"Depok, Jawa Barat",Tidak bekerja,Paket Data Seluler,Aktif organisasi kemahasiswaan,500k s.d 1 jt,Kos,> 5 km,Lainnya,Ibu Rumah Tangga,1jt - 3jt,6
313,Teknik Mesin,3 an,Laki-laki,167,54,SMA,75 jam,Tidak,"Padang, Sumatera Barat",Tidak bekerja,Wi-Fi pribadi,Aktif kegiatan akademik,500k s.d 1 jt,Kos,1 km - 2 km,Wiraswata,Ibu Rumah Tangga,1jt - 3jt,5
314,Pariwisata,-,Perempuan,170,73,SMA,20 jam,Tidak,"Lampung, Lampung Timur",Tidak bekerja,Paket Data Seluler,Tidak Aktif,500k s.d 1 jt,Tinggal besama orangtua,> 5 km,PNS,Ibu Rumah Tangga,5 jt - 7 jt,4
315,Pariwisata,"3,65",Perempuan,165,50,SMK,15 jam,Tidak,"Batam, Kepulauan Riau",Tidak bekerja,Paket Data Seluler,Aktif organisasi kemahasiswaan,"1 jt s.d 1,5 jt",Kos,1 km - 2 km,Wiraswata,Ibu Rumah Tangga,1jt - 3jt,6
316,Sains Data,0,Laki-laki,172,47,SMA,4,Tidak,"Banten, Kabupaten Tangerang ",Tidak bekerja,Lainnya,Tidak Aktif,"1 jt s.d 1,5 jt",Kos,> 5 km,Wiraswata,Ibu Rumah Tangga,3 jt - 5jt,5
317,Teknik Sipil,-,Perempuan,165cm,50kg,SMA,90jam,Ya,Sumatera Utara,Tidak bekerja,Paket Data Seluler,Tidak Aktif,"1 jt s.d 1,5 jt",Kos,< 1 km,Petani/ Nelayan,Petani/ Nelayan,< 1jt,6
318,Kimia,2.53,Laki-laki,-,43,SMA,3x dalam seminggu ,Tidak,lampung,Tidak bekerja,Wi-Fi pribadi,Lainnya,> 2 jt,Tinggal besama orangtua,> 5 km,Karyawan Swasta,Ibu Rumah Tangga,5 jt - 7 jt,4
319,Teknologi Pangan ,"3,5",Perempuan,160,58,SMA,30 jam,Tidak,"Bandar Lampung, Lampung",Tidak bekerja,Wi-Fi pribadi,Lainnya,500k s.d 1 jt,Tinggal besama orangtua,> 5 km,Wiraswata,Lainnya,1jt - 3jt,4
320,Sains Data,"3,79",Laki-laki,175 Cm,80 kg,SMA,12 jam,Tidak,"Batam, Kepulauan Riau",Tidak bekerja,Wi-Fi pribadi,Aktif organisasi kemahasiswaan,"1 jt s.d 1,5 jt",Kos,2 km - 3 km,Lainnya,Ibu Rumah Tangga,3 jt - 5jt,5
321,Kimia ,"3,94",Perempuan,150,50,SMA,10,Ya,Lampung ,Tidak bekerja,Wi-Fi pribadi,Tidak Aktif,"1 jt s.d 1,5 jt",Kos,1 km - 2 km,Petani/ Nelayan,Ibu Rumah Tangga,3 jt - 5jt,4
322,Sains Data,"3,69",Laki-laki,180,84,SMA,4 jam,Tidak,"Padang, Sumatera Barat",Tidak bekerja,Fasilitas Kampus,Aktif kegiatan akademik,500k s.d 1 jt,Rumah mengontrak bersama-sama,1 km - 2 km,Petani/ Nelayan,Lainnya,1jt - 3jt,5
